analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__wisconsin__60-79__total,us_non_sex,Wisconsin,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wisconsin__ge80__total,us_non_sex,Wisconsin,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wyoming__20-39__total,us_non_sex,Wyoming,20-39,total,TRUE,,2001-04-30,2023-04-30,35,261
us__us-non-sex__wyoming__40-59__total,us_non_sex,Wyoming,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wyoming__60-79__total,us_non_sex,Wyoming,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wyoming__ge80__total,us_non_sex,Wyoming,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__0-44__female,us_sex,Alabama,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__0-44__male,us_sex,Alabama,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__45-64__female,us_sex,Alabama,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__45-64__male,us_sex,Alabama,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__65-84__female,us_sex,Alabama,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__65-84__male,us_sex,Alabama,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__ge85__female,us_sex,Alabama,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alabama__ge85__male,us_sex,Alabama,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alaska__0-44__female,us_sex,Alaska,0-44,female,TRUE,,1999-02-28,2023-07-31,75,221
us__us-sex__alaska__0-44__male,us_sex,Alaska,0-44,male,TRUE,,1999-01-31,2023-08-31,251,45
us__us-sex__alaska__45-64__female,us_sex,Alaska,45-64,female,TRUE,,1999-01-31,2023-08-31,292,4
us__us-sex__alaska__45-64__male,us_sex,Alaska,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alaska__65-84__female,us_sex,Alaska,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alaska__65-84__male,us_sex,Alaska,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alaska__ge85__female,us_sex,Alaska,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__alaska__ge85__male,us_sex,Alaska,GE85,male,TRUE,,1999-03-31,2023-08-31,279,17
us__us-sex__arizona__0-44__female,us_sex,Arizona,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__0-44__male,us_sex,Arizona,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__45-64__female,us_sex,Arizona,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__45-64__male,us_sex,Arizona,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__65-84__female,us_sex,Arizona,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__65-84__male,us_sex,Arizona,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__ge85__female,us_sex,Arizona,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arizona__ge85__male,us_sex,Arizona,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__0-44__female,us_sex,Arkansas,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__0-44__male,us_sex,Arkansas,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__45-64__female,us_sex,Arkansas,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__45-64__male,us_sex,Arkansas,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__65-84__female,us_sex,Arkansas,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__65-84__male,us_sex,Arkansas,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__ge85__female,us_sex,Arkansas,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__arkansas__ge85__male,us_sex,Arkansas,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__0-44__female,us_sex,California,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__0-44__male,us_sex,California,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__45-64__female,us_sex,California,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__45-64__male,us_sex,California,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__65-84__female,us_sex,California,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__65-84__male,us_sex,California,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__ge85__female,us_sex,California,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__california__ge85__male,us_sex,California,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__0-44__female,us_sex,Colorado,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__0-44__male,us_sex,Colorado,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__45-64__female,us_sex,Colorado,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__45-64__male,us_sex,Colorado,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__65-84__female,us_sex,Colorado,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__65-84__male,us_sex,Colorado,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__ge85__female,us_sex,Colorado,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__colorado__ge85__male,us_sex,Colorado,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
