"figure","region","geography","age_group","status","reason","geography_label"
"figure_05","europe","RS","GE80","available",,"Serbia"
"figure_05","europe","SK","GE80","available",,"Slovakia"
"figure_05","europe","SI","GE80","available",,"Slovenia"
"figure_05","europe","ES","GE80","available",,"Spain"
"figure_05","europe","SE","GE80","available",,"Sweden"
"figure_05","europe","CH","GE80","available",,"Switzerland"
"figure_05","us","Alabama","0-44","available",,"Alabama"
"figure_05","us","Alaska","0-44","available",,"Alaska"
"figure_05","us","Arizona","0-44","available",,"Arizona"
"figure_05","us","Arkansas","0-44","available",,"Arkansas"
"figure_05","us","California","0-44","available",,"California"
"figure_05","us","Colorado","0-44","available",,"Colorado"
"figure_05","us","Connecticut","0-44","available",,"Connecticut"
"figure_05","us","Delaware","0-44","available",,"Delaware"
"figure_05","us","District of Columbia","0-44","available",,"District of Columbia"
"figure_05","us","Florida","0-44","available",,"Florida"
"figure_05","us","Georgia","0-44","available",,"Georgia"
"figure_05","us","Hawaii","0-44","available",,"Hawaii"
"figure_05","us","Idaho","0-44","available",,"Idaho"
"figure_05","us","Illinois","0-44","available",,"Illinois"
"figure_05","us","Indiana","0-44","available",,"Indiana"
"figure_05","us","Iowa","0-44","available",,"Iowa"
"figure_05","us","Kansas","0-44","available",,"Kansas"
"figure_05","us","Kentucky","0-44","available",,"Kentucky"
"figure_05","us","Louisiana","0-44","available",,"Louisiana"
"figure_05","us","Maine","0-44","available",,"Maine"
"figure_05","us","Maryland","0-44","available",,"Maryland"
"figure_05","us","Massachusetts","0-44","available",,"Massachusetts"
"figure_05","us","Michigan","0-44","available",,"Michigan"
"figure_05","us","Minnesota","0-44","available",,"Minnesota"
"figure_05","us","Mississippi","0-44","available",,"Mississippi"
"figure_05","us","Missouri","0-44","available",,"Missouri"
"figure_05","us","Montana","0-44","available",,"Montana"
"figure_05","us","Nebraska","0-44","available",,"Nebraska"
"figure_05","us","Nevada","0-44","available",,"Nevada"
"figure_05","us","New Hampshire","0-44","available",,"New Hampshire"
"figure_05","us","New Jersey","0-44","available",,"New Jersey"
"figure_05","us","New Mexico","0-44","available",,"New Mexico"
"figure_05","us","New York","0-44","available",,"New York"
"figure_05","us","North Carolina","0-44","available",,"North Carolina"
"figure_05","us","North Dakota","0-44","available",,"North Dakota"
"figure_05","us","Ohio","0-44","available",,"Ohio"
"figure_05","us","Oklahoma","0-44","available",,"Oklahoma"
"figure_05","us","Oregon","0-44","available",,"Oregon"
"figure_05","us","Pennsylvania","0-44","available",,"Pennsylvania"
"figure_05","us","Rhode Island","0-44","available",,"Rhode Island"
"figure_05","us","South Carolina","0-44","available",,"South Carolina"
"figure_05","us","South Dakota","0-44","available",,"South Dakota"
"figure_05","us","Tennessee","0-44","available",,"Tennessee"
"figure_05","us","Texas","0-44","available",,"Texas"
"figure_05","us","Utah","0-44","available",,"Utah"
"figure_05","us","Vermont","0-44","unavailable","Registered historical model failure","Vermont"
